0;231.59999999403954;50442;2153664;2153664
232;94.90000000596046;32582;2132961;2132961
327;100.79999999701977;15075;2148841;2148841
428;91.1000000089407;22698;2118297;2118297
519;108.5;30643;2165583;2165583
627;120.09999999403954;22142;2106843;2106843
747;88.20000000298023;14989;2151363;2151363
835;96.3999999910593;14219;2150306;2150306
932;84.3999999910593;15637;2119894;2119894
1016;93.6000000089407;15001;2150047;2150047
1110;109.20000000298023;13866;2141756;2141756
1219;84.59999999403954;14632;2140537;2140537
1304;80.80000001192093;13685;2112702;2112702
1385;87.8999999910593;17695;2137531;2137531
1472;80.1000000089407;13629;2125868;2125868
1553;81.8999999910593;13906;2165130;2165130
1634;86;13614;2184038;2184038
1720;85.29999999701977;18027;2142643;2142643
1806;85.20000000298023;13199;2110262;2110262
1891;82.29999999701977;13742;2082377;2082377
1973;83.5;14963;2154319;2154319
2057;82.5;17993;2122751;2122751
2139;123;18564;2149653;2149653
2262;86.80000001192093;13558;2128637;2128637
2349;81.69999998807907;18019;2150702;2150702
2431;82.30000001192093;12962;2090227;2090227
2513;88.3999999910593;13797;2120877;2120877
2602;101.6000000089407;21689;2137000;2137000
2703;89.79999999701977;18470;2144008;2144008
2793;102.09999999403954;14679;2122582;2122582
2895;86.90000000596046;14233;2111720;2111720
2982;91.5;14421;2133521;2133521
3073;86.79999999701977;13574;2124216;2124216
3160;86.29999999701977;13061;2087139;2087139
3247;133.1000000089407;23048;2115826;2115826
3380;87.09999999403954;13633;2140760;2140760
3467;85.90000000596046;13662;2107215;2107215
3552;81.8999999910593;12293;2097839;2097839
3634;85.6000000089407;14556;2140087;2140087
3720;84.59999999403954;13070;2121665;2121665
3805;93.79999999701977;12827;2137312;2137312
3899;86.40000000596046;13112;2114722;2114722
3985;92.5;18287;2117031;2117031
4077;88.59999999403954;12771;2155383;2155383
4166;81.70000000298023;12530;2153664;2153664
4248;78.70000000298023;12103;2132961;2132961
4326;80.09999999403954;12446;2148841;2148841
4407;103.29999999701977;12406;2118297;2118297
4510;90.30000001192093;13564;2165583;2165583
4600;83.19999998807907;34365;2106843;2106843
4683;85.30000001192093;12750;2151363;2151363
4769;86.29999999701977;14197;2150306;2150306
4855;78.59999999403954;14650;2119894;2119894
4934;83.40000000596046;12495;2150047;2150047
