0;1102.9000000059605;400043;41162;0.0314447189389969
1103;270.69999999552965;190211;41162;0.03637686843577499
1374;1126.8000000044703;548573;41162;0.023817487665124842
2501;1222.7999999970198;382155;41162;0.025819644044264865
3723;1041.1000000014901;204170;41162;0.03057098388671875
4765;293.1000000014901;188343;41162;0.02452539385055483
5058;292.09999999403954;207331;41162;0.026123718865589746
5350;1295.9000000059605;403688;41162;0.03174301648232007
6646;300.69999999552965;176239;41162;0.02560195591458943
6946;1118.8000000044703;173955;41162;0.02754019402168893
8065;1073.0999999940395;190622;41162;0.03268133075080783
9138;269.1000000014901;197442;41162;0.026617425749200653
9407;1583.7000000029802;319757;41162;0.029310539422348198
10991;1718.2999999970198;356962;41162;0.03517995377765199
